,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
146,Downtown MontrealEast,45.503480100000004,-73.5684895,Houston Avenue Bar & Grill,45.502436,-73.562336,Restaurant
147,Downtown MontrealEast,45.503480100000004,-73.5684895,Marcello's Marché et Déli,45.49971231359496,-73.56563968445705,Deli / Bodega
148,Downtown MontrealEast,45.503480100000004,-73.5684895,Tiki-Ming,45.4998049902187,-73.56530837110499,Chinese Restaurant
149,Downtown MontrealEast,45.503480100000004,-73.5684895,Sushi Shop,45.500177955382334,-73.56421079042704,Sushi Restaurant
150,Notre-Dame-de-GrâceSouthwest,45.465174499999996,-73.6322193,Cafe 92°,45.46215450496049,-73.63214074874406,Café
151,Notre-Dame-de-GrâceSouthwest,45.465174499999996,-73.6322193,Pizza Pizza,45.464961524518934,-73.6265292563458,Pizza Place
152,Notre-Dame-de-GrâceSouthwest,45.465174499999996,-73.6322193,Mizu Sushi Lounge,45.4664,-73.63,Asian Restaurant
153,Notre-Dame-de-GrâceSouthwest,45.465174499999996,-73.6322193,Mama Sofia,45.46212390766213,-73.63201037829019,Pizza Place
154,Notre-Dame-de-GrâceSouthwest,45.465174499999996,-73.6322193,Seoul BBQ,45.46307914871529,-73.62730044935505,Korean Restaurant
155,Notre-Dame-de-GrâceSouthwest,45.465174499999996,-73.6322193,Le Petit Tokebi,45.46100819994961,-73.63392315400897,Japanese Restaurant
156,Place Desjardins,45.507113700000005,-73.56362179999998,Lola Rosa,45.507021,-73.566403,Vegetarian / Vegan Restaurant
157,Place Desjardins,45.507113700000005,-73.56362179999998,Café du Nouveau Monde,45.50882337065106,-73.56472458136264,French Restaurant
158,Place Desjardins,45.507113700000005,-73.56362179999998,Il Pranzetto,45.507543,-73.561967,Italian Restaurant
159,Place Desjardins,45.507113700000005,-73.56362179999998,La Capital Tacos,45.508526,-73.56118,Taco Place
160,Place Desjardins,45.507113700000005,-73.56362179999998,NYKS Bistro Pub,45.50632425917815,-73.56638244378388,French Restaurant
161,Place Desjardins,45.507113700000005,-73.56362179999998,Brasserie T,45.507251999183616,-73.56649446008318,French Restaurant
162,Place Desjardins,45.507113700000005,-73.56362179999998,Mai Xiang Yuan,45.50831,-73.56073,Chinese Restaurant
163,Place Desjardins,45.507113700000005,-73.56362179999998,La Finca – café & bureau,45.50452048526137,-73.56311578607162,Café
164,Place Desjardins,45.507113700000005,-73.56362179999998,Patisserie Harmonie,45.50700939711022,-73.56089542288306,Bakery
165,Place Desjardins,45.507113700000005,-73.56362179999998,Monsieur Restaurant + Bar,45.5047025313352,-73.56361253549095,Restaurant
166,Place Desjardins,45.507113700000005,-73.56362179999998,Tiradito,45.50454438091839,-73.5634049166857,Peruvian Restaurant
167,Place Desjardins,45.507113700000005,-73.56362179999998,SAT FoodLab,45.50944615407879,-73.56266781141335,Restaurant
168,Place Desjardins,45.507113700000005,-73.56362179999998,Cadet,45.51025997938528,-73.56458439677048,Restaurant
169,Place Desjardins,45.507113700000005,-73.56362179999998,Café SAT,45.50933194126416,-73.56244744880408,Café
170,Place Desjardins,45.507113700000005,-73.56362179999998,Kagayaki Shabu Shabu,45.50718485328859,-73.56075314640941,Shabu-Shabu Restaurant
171,Place Desjardins,45.507113700000005,-73.56362179999998,Qing Hua,45.508014734138094,-73.55974835611899,Dumpling Restaurant
